,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
310,26-12-2022,Lemon (Lime),50,61,71,1kg
311,26-12-2022,Mango Raw,107,129,152,1kg
312,26-12-2022,Mint Leaves,6,7,8,1kg
313,26-12-2022,Mushroom,93,112,132,1kg
314,26-12-2022,Mustard Leaves,16,19,22,1kg
315,26-12-2022,Ladies Finger,28,34,40,1kg
316,26-12-2022,Pumpkin,27,32,38,1kg
317,26-12-2022,Radish,23,27,33,1kg
318,26-12-2022,Ridge Gourd,26,31,37,1kg
319,26-12-2022,Shallot (Pearl Onion),36,43,51,1kg
320,26-12-2022,Snake Gourd,27,32,38,1kg
321,26-12-2022,Sorrel Leaves,14,17,20,1kg
322,26-12-2022,Spinach,14,17,20,1kg
323,26-12-2022,Sweet Potato,36,43,51,1kg
324,25-12-2022,Onion Big,25,30,35,1kg
325,25-12-2022,Onion Small,36,43,51,1kg
326,25-12-2022,Tomato,15,18,21,1kg
327,25-12-2022,Green Chilli,39,47,55,1kg
328,25-12-2022,Beetroot,33,40,47,1kg
329,25-12-2022,Potato,30,36,43,1kg
330,25-12-2022,Raw Banana (Plantain),9,10,13,1kg
331,25-12-2022,Amaranth Leaves,11,13,15,1kg
332,25-12-2022,Amla,60,72,85,1kg
333,25-12-2022,Ash gourd,27,32,38,1kg
334,25-12-2022,Baby Corn,64,77,91,1kg
335,25-12-2022,Banana Flower,17,21,24,1kg
336,25-12-2022,Capsicum,44,53,63,1kg
337,25-12-2022,Bitter Gourd,29,35,41,1kg
338,25-12-2022,Bottle Gourd,30,36,43,1kg
339,25-12-2022,Butter Beans,76,92,108,1kg
340,25-12-2022,Broad Beans,38,46,54,1kg
341,25-12-2022,Cabbage,26,31,37,1kg
342,25-12-2022,Carrot,32,39,45,1kg
343,25-12-2022,Cauliflower,24,29,34,1kg
344,25-12-2022,Cluster beans,45,54,64,1kg
345,25-12-2022,Coconut,32,39,45,1kg
346,25-12-2022,Colocasia Leaves,14,17,20,1kg
347,25-12-2022,Colocasia,27,32,38,1kg
348,25-12-2022,Coriander Leaves,6,7,8,1kg
349,25-12-2022,Corn,27,32,38,1kg
350,25-12-2022,Cucumber,24,29,34,1kg
351,25-12-2022,Curry Leaves,26,31,37,1kg
352,25-12-2022,Dill Leaves,13,16,18,1kg
353,25-12-2022,Drumsticks,70,85,100,1kg
354,25-12-2022,Brinjal,27,32,38,1kg
355,25-12-2022,Brinjal (Big),23,27,33,1kg
356,25-12-2022,Elephant Yam,27,32,38,1kg
357,25-12-2022,Fenugreek Leaves,12,14,17,1kg
358,25-12-2022,French Beans,32,39,45,1kg
359,25-12-2022,Garlic,30,36,43,1kg
360,25-12-2022,Ginger,40,48,57,1kg
361,25-12-2022,Onion Green,39,47,55,1kg
362,25-12-2022,Green Peas,83,100,118,1kg
363,25-12-2022,Ivy Gourd,22,26,31,1kg
364,25-12-2022,Lemon (Lime),50,61,71,1kg
365,25-12-2022,Mango Raw,107,129,152,1kg
366,25-12-2022,Mint Leaves,6,7,8,1kg
367,25-12-2022,Mushroom,93,112,132,1kg
368,25-12-2022,Mustard Leaves,16,19,22,1kg
369,25-12-2022,Ladies Finger,28,34,40,1kg
370,25-12-2022,Pumpkin,27,32,38,1kg
371,25-12-2022,Radish,23,27,33,1kg
372,25-12-2022,Ridge Gourd,26,31,37,1kg
373,25-12-2022,Shallot (Pearl Onion),36,43,51,1kg
374,25-12-2022,Snake Gourd,27,32,38,1kg
375,25-12-2022,Sorrel Leaves,14,17,20,1kg
376,25-12-2022,Spinach,14,17,20,1kg
377,25-12-2022,Sweet Potato,36,43,51,1kg
378,24-12-2022,Onion Big,25,30,35,1kg
379,24-12-2022,Onion Small,36,43,51,1kg
380,24-12-2022,Tomato,15,18,21,1kg
381,24-12-2022,Green Chilli,39,47,55,1kg
382,24-12-2022,Beetroot,33,40,47,1kg
383,24-12-2022,Potato,30,36,43,1kg
384,24-12-2022,Raw Banana (Plantain),9,10,13,1kg
385,24-12-2022,Amaranth Leaves,11,13,15,1kg
386,24-12-2022,Amla,60,72,85,1kg
387,24-12-2022,Ash gourd,27,32,38,1kg
388,24-12-2022,Baby Corn,64,77,91,1kg
389,24-12-2022,Banana Flower,17,21,24,1kg
390,24-12-2022,Capsicum,44,53,63,1kg
391,24-12-2022,Bitter Gourd,29,35,41,1kg
392,24-12-2022,Bottle Gourd,30,36,43,1kg
393,24-12-2022,Butter Beans,76,92,108,1kg
394,24-12-2022,Broad Beans,38,46,54,1kg
395,24-12-2022,Cabbage,26,31,37,1kg
396,24-12-2022,Carrot,32,39,45,1kg
397,24-12-2022,Cauliflower,24,29,34,1kg
398,24-12-2022,Cluster beans,45,54,64,1kg
399,24-12-2022,Coconut,32,39,45,1kg
400,24-12-2022,Colocasia Leaves,14,17,20,1kg
401,24-12-2022,Colocasia,27,32,38,1kg
